,商品名,价格,店铺,销量,省份
354,稻香村月饼礼盒装512g16饼6味中秋节员工礼品送礼团购散装多口味,19.9,云鼎润杰食品专营店,2306.0,天津
355,美心月饼券票348型流心奶黄月饼礼盒提货券香港2020中秋全国使用,285.0,票券世家,784.0,上海
356,苏南潮汕老式月饼中秋礼盒装 潮州乌豆沙蛋黄手工汕头大朥饼送礼,78.0,苏南食品旗舰店,192.0,广东
357,稻香村月饼礼盒装蛋黄莲蓉豆沙多味传统广式月饼中秋送礼团购批发,24.9,三珍斋食品专营店,497.0,江苏
358,中秋月饼礼盒装高档团购定制企业LOGO送礼松木布包手工日式礼盒,98.0,芮稻旗舰店,106.0,浙江
359,中秋送礼流心奶黄月饼礼盒装团购广式蛋黄流沙新款高档手工月饼,98.0,甜芙尼旗舰店,325.0,广东
360,【周年限定】中国香港元朗荣华双黄白莲蓉广式月饼礼盒装送礼礼品,179.0,元朗荣华官方旗舰店,137.0,广东
361,2020哈根达斯月饼券七星伴月498型全国通用冰淇淋月饼官方提货卷,398.8,snpee,178.0,北京
362,义家人2斤大月饼五仁叉烧广西合浦伍仁金腿中秋月饼礼盒装广式,108.0,柳溪河食品,402.0,广西
363,锦华星耀月宴月饼礼盒装月饼糕点高档双层铁盒中秋节送人礼品团购,142.2,稻香园食品专营店,249.0,北京
364,金尊广式双黄莲蓉纯豆沙冬蓉水果多口味礼盒装中秋送礼月饼团购,49.9,金尊旗舰店,836.0,广东
365,吴川金九伍仁月饼五仁金腿火腿大月饼广东湛江中秋节送礼盒装1斤,138.0,创想时代食品专营店,689.0,广东
366,杏花楼 七星伴月 中秋月饼礼盒送礼广式传统老式多口味盒装礼品,188.0,杏花楼食品旗舰店,587.0,上海
367,广东吴川金九月饼伍仁金腿2斤传统广式五仁火腿肉丝大饼中秋礼盒,208.0,天语w700,689.0,广东
368,杏花楼月饼券票嫦娥铁盒/迷你铁盒95型月饼礼盒提货券上海用包邮,66.5,c雨雨99,266.0,上海
369,广式五仁金腿月饼广东老式传统手工大饼中秋节送礼装礼盒2斤3斤4,98.0,亚dai,781.0,广东
370,【百亿补贴】知味观中秋月饼礼盒装广式蛋黄莲蓉流心奶黄团购送礼,44.9,知味观官方旗舰店,3998.0,浙江
371,2020香港港版美心流心奶黄月饼礼盒正品流沙流心流星奶黄中秋代购,268.0,bfd百分点智能生活馆,584.0,广东
372,星巴克月饼券2020提货优惠券348型458/598型教师节礼中秋月饼票券,243.6,炫耀的彬,1398.0,上海
373,五芳斋月饼礼盒装中秋节送礼品蛋黄莲蓉广式官方旗舰店团购批发,32.9,五芳斋禾乡缘专卖店,724.0,浙江
374,礼券元祖中秋雪月饼脆皮冰淇淋礼盒装送礼电子券提货劵全国通用,298.0,元祖食品官方旗舰店,125.0,上海
375,稻香村蛋黄莲蓉豆沙多口味散装传统老式五仁月饼手工礼盒装中秋礼,69.9,稻香村食品旗舰店,25000.0,北京
376,迪士尼快乐童梦月饼礼盒360g高档中秋送礼音乐盒儿童卡通零食团购,238.0,天猫超市,177.0,上海
377,桃李京式月饼家庭装礼盒800g老式传统五仁多口味中秋节日送礼团购,49.9,天猫超市,102.0,上海
378,中国香港美心月饼七星伴明月冰皮月饼礼盒8口味进口港式中秋送礼,378.0,美心官方旗舰店,241.0,上海
379,三只松鼠奶黄流心月饼礼盒300g/盒6枚装中秋送礼休闲零食网红小吃,59.0,天猫超市,424.0,上海
380,【5斤特价】新货广式豆沙蛋黄月饼莲蓉糕点零食早餐中秋五仁月饼,29.9,yaozixiang14825,2328.0,江苏
381,礼券元祖中秋雪享月饼冰淇淋电子券提货券送礼全国门店通用,308.0,元祖食品官方旗舰店,163.0,上海
382,杏花楼月饼券票中秋广式月饼礼盒提货券398型豪华提篮 上海使用,260.0,爱的选择love,129.0,上海
383,元祖雪月饼248型星空 中秋冰淇淋月饼礼券礼品福利提货券优惠票券,198.0,love_barbie24,652.0,上海
384,北京稻香村月饼礼盒装送礼团圆中秋640g广式月饼礼盒三禾中秋礼盒,168.0,天猫超市,1978.0,上海
385,米旗聚月中秋广式月饼礼盒装600g 蛋黄白莲豆沙中秋节礼品送礼,99.9,米旗官方旗舰店,2307.0,陕西
386,网红中秋节流心奶黄高档月饼礼盒装糕点多口味桃山皮企业团购送礼,95.0,梓丞食品专营店,97.0,浙江
387,猫山王榴莲冰皮月饼礼盒装中秋送礼多口味高档燕窝月饼教师节团购,198.0,百家好食品专营店,510.0,广东
388,吴川金九月饼伍仁金腿2斤广东省湛江广式五仁火腿大月饼团购礼盒,208.0,星之导贸易商城店,248.0,广东
389,哈根达斯月饼券268型玲珑心意冰淇淋月饼礼盒提货券月饼票,201.0,真诚票务,1447.0,上海
390,荣诚月饼礼盒装中秋礼品广式传统蛋黄莲蓉月饼散装多口味月饼送礼,29.8,荣诚旗舰店,9000.0,广东
391,五芳斋双层竹篮月饼礼盒装广式蛋黄莲蓉散装多口味中秋节礼品送礼,59.9,五芳斋久臻专卖店,291.0,浙江
392,美心月饼券票流心奶黄月饼提货卷劵中秋礼盒全国通用可发实物,182.4,wd871028,942.0,上海
393,老饭骨月饼传统五仁馅料礼盒装,99.0,dengqukeji,1052.0,北京
394,东来顺清真月饼礼盒祥瑞东来北京特产双层回民中秋月饼节礼品送人,238.4,多点诚意食品专营店,26.0,北京
395,月光宝盒台式酥皮中秋月饼礼盒装送礼高档奶黄流心多口味公司团购,99.0,tb9943169,101.0,福建
396,粮午斋中秋节月饼礼盒装送礼品企业团购定制广式燕窝蛋黄莲蓉流心,119.9,粮午斋嘉兴专卖店,264.0,浙江
397,广州酒家蛋黄纯白莲蓉月饼750g广式月饼中秋月饼礼盒送礼蛋黄莲蓉,159.0,广州酒家中邮专卖店,479.0,广东
398,元祖雪月饼378型雪中集中秋冰淇淋月饼礼券礼品福利提货券优惠券,300.0,love_barbie24,203.0,上海
399,云腿月饼云南特产宣威火腿月饼蛋黄小饼酥皮散装多口味礼盒装送礼,15.8,安金食品专营店,15000.0,云南
400,金顺昌广西五仁月饼叉烧传统老式手工广式伍仁火腿月饼散装多口味,52.8,金顺昌旗舰店,1428.0,广西
401,云腿月饼散装宣威火腿滇式云南特产多口味蛋黄中秋月饼礼盒装送礼,39.9,云宣稻香园旗舰店,20000.0,云南
402,蕉熹双层提篮高端月饼礼盒装送礼广式高档多口味企业团购定制logo,288.0,蕉熹旗舰店,25.0,浙江
403,哈根达斯月饼券圆满臻萃378型中秋礼盒冰淇淋月饼提货券全国使用,249.48,c雨雨99,87.0,上海
404,中国香港美心流心双式月饼流心奶黄流心巧克力港式中秋送礼礼盒,288.0,美心官方旗舰店,790.0,上海
405,YOTIME中秋节月饼礼盒装送礼饼干网红流心桃山皮糕点礼品团购定制,158.0,yotime旗舰店,904.0,浙江
406,润之禧大月饼礼盒装提篮高端中秋节广式蛋黄莲蓉五仁多口味送礼品,99.0,80后食代,158.0,浙江
407,知味观攀云追月中秋月饼礼盒装广式蛋黄莲蓉奶黄流心送礼礼品团购,168.0,知味观官方旗舰店,331.0,浙江
408,味禧魔方 广式月饼竹篮礼盒装 蛋黄莲蓉流心奶黄中秋节团购送礼品,28.9,味禧魔方旗舰店,1410.0,浙江
409,双层竹篮月饼礼盒装广式五仁蛋黄莲蓉散装多口味中秋节送礼品团购,39.9,张阿庆食品专营店,317.0,安徽
410,元祖雪月饼298型雪月饼中秋冰淇淋月饼礼券礼品福利提货券优惠券,238.0,love_barbie24,221.0,上海
411,五芳斋流心奶黄月饼多口味礼盒装蛋黄流沙巧克力中秋节送礼品团购,178.0,五芳斋官方旗舰店,673.0,浙江
412,味禧魔方 广式月饼礼盒装 蛋黄莲蓉五仁豆沙多口味中秋节送礼团购,17.8,味禧魔方旗舰店,3062.0,浙江
413,中秋月饼礼盒装高档双层公司团购送礼广式酥皮蛋黄火腿多口味礼品,79.9,梅之恋9268,511.0,四川
414,菲尔雪冰皮月饼礼盒栗子水果芒果牛奶中秋送礼礼品月饼礼盒,199.0,菲尔雪食品旗舰店,375.0,江西
415,广州酒家双黄纯白莲蓉月饼750g广式月饼公司团购中秋礼盒送礼手信,178.0,爱吃有道,83.0,广东
416,中国香港【奇华饼家月饼】蛋黄奶黄月饼礼盒进口港式中秋糕点零食,258.0,奇华礼饼专家旗舰店,678.0,广东
417,稻香村月饼上品贡礼1290g高档双层礼盒中秋节送领导客户团购,328.0,中谷粮品食品专营店,47.0,北京
418,鼎丰真五仁月饼500g 枣泥豆沙月饼东北老式传统月饼散装 斤装月饼,30.0,鼎丰真食品旗舰店,1138.0,吉林
419,稻香村月饼礼盒广式蛋黄莲蓉五仁豆沙多口味散装中秋节团购送礼品,36.9,稻香村星皓专卖店,300000.0,北京
420,华美月饼礼盒装广式蛋黄莲蓉豆沙月饼散装多口味中秋节团购送礼品,27.9,润韬食品专营店,1463.0,浙江
421,华美八角冰皮月饼礼盒装600g传统多口味水果味中秋节礼品送礼团购,98.0,安乐安乐年,361.0,广东
422,山西神池胡麻油果仁月饼散装 整箱老式 手工 传统 礼盒装送礼朗泰,28.81,tb2447560,2865.0,山西
423,星巴克月饼券票348星晴458星悦598星奕礼盒提货券江浙沪通用,190.0,aniuniu3082,70.0,上海
424,中国香港美心冰皮月饼mini4组合迷你芒果燕窝月饼进口中秋,248.0,天猫国际进口超市国内现货,33.0,上海
425,稻香村中秋月饼礼盒装广式蛋黄莲蓉月饼传统五仁枣泥多口味散装,158.0,稻香村食品旗舰店,169.0,北京
426,稻香村月饼豆沙京式老五仁多口味蛋黄莲蓉广式散装礼盒装中秋送礼,39.9,稻香村食品旗舰店,8500.0,北京
427,稻香村 上品臻礼1080g中秋月饼礼盒团购糕点,188.0,天猫超市,71.0,上海
428,三只松鼠桃山流心月饼礼盒480g/盒8枚装中秋送礼休闲零食多口味,119.0,天猫超市,192.0,上海
429,【包邮】稻香村稻香佳礼720g月饼礼盒中秋多口味送礼零食糕点,159.8,天猫超市,6500.0,上海
430,广州酒家利口福月饼熔岩流心奶黄月饼礼盒400g广式月饼节日送礼,188.0,天猫超市,24.0,上海
431,元朗中秋月饼礼盒装 送礼佳品1036g糕点零食大礼包一整箱广东特产,109.0,天猫超市,126.0,上海
432,稻香村双层竹篮月饼礼盒装中秋送人礼品蛋黄莲蓉五仁多口味散月饼,79.9,旭美食品专营店,277.0,浙江
433,中秋节月饼礼盒装送礼广式蛋黄莲蓉豆沙流心奶黄多口味团购批发,19.9,宏盛食品专营店,682.0,浙江
434,2020新鲜出炉广西玉林居香广式中秋月饼老式纸筒装伍仁叉烧包邮,31.0,南方时空店,838.0,广西
435,【官方团购】金九月饼伍仁金腿大月饼2斤装广东吴川火腿中秋礼盒,208.0,雅致中心,458.0,广东
436,杏花楼月饼券 月饼票 花色提篮 248型 提货券上海使用包邮,166.0,yunyun票券,73.0,上海
437,嘉华云腿酥 云腿小饼12枚/袋 云南特产宣威火腿月饼 中秋酥皮月饼,33.8,颖刚食品专营店,1083.0,云南
438,稻香村广式蛋黄莲蓉月饼苏式五仁多口味中秋节送礼月饼礼盒装送礼,44.9,忆品味贸易有限公司,619.0,江苏
439,知味观流心奶黄月饼礼盒装网红芝士蛋黄流心酥中秋节特产送礼团购,89.9,知味观官方旗舰店,509.0,浙江
440,哈根达斯冰淇淋268/378/498/698/898型全国通用月饼提货券,328.0,上海友缘票务,154.0,上海
441,多口味中秋手提篮月饼高档豪华木质双层礼盒装蛋黄莲蓉广式,98.0,你最珍贵xj,257.0,浙江
442,稻香村月饼礼盒装600g蛋黄莲蓉五仁广式多口味月饼中秋送礼品团购,49.9,农承食品专营店,717.0,浙江
443,【帝一榴】马来西亚进口猫山王榴莲冰皮月饼礼盒装中秋节送礼品,178.0,帝一榴旗舰店,159.0,福建
444,美心月饼流心奶黄月饼礼盒中秋送礼香港进口港版正宗式蛋黄送礼装,268.0,皇冠强强,522.0,广东
445,三只松鼠安佳联名款月饼礼盒480g/盒8枚装中秋送礼多口味网红小吃,119.0,天猫超市,58.0,上海
446,可定制赠言企业LOGO高档中秋商务送礼小青柑茶奶黄流心月饼礼盒装,268.0,天道缘茶叶专营店,600.0,浙江
447,哈根达斯月饼提货券 玲珑心意268型冰淇淋票盒全国通用中秋礼品卡,214.4,lianshop_txw,242.0,北京
448,元祖雪月饼298型雪月饼中秋冰淇淋月饼礼券礼品福利提货券优惠券,232.44,c雨雨99,28.0,上海
449,久知味广式月饼蛋黄莲蓉礼盒装双黄纯白莲蓉月饼散装中秋节送礼品,69.9,久知味旗舰店,668.0,广东
450,高端中秋节月饼礼盒装送礼品广式桃山皮奶黄流心企业团购定制logo,139.9,恬魅旗舰店,116.0,浙江
451,中秋广式红豆沙馅大月饼老式陈皮散装多口味新款零食礼盒装送礼品,28.9,儿时指印旗舰店,4132.0,广东
452,猫山王榴莲冰皮月饼爆浆流心网红冰皮月饼礼盒装教师节中秋节送礼,238.0,猫爱主人旗舰店,159.0,广东
453,【包邮】稻香村稻香盈月525g中华老字号中秋月饼礼盒糕点心,59.9,天猫超市,5000.0,上海
454,朵娜贝拉中秋节月饼礼盒装高档流心奶黄送礼留心高端团购定制logo,198.0,世玥食品专营店,332.0,上海
455,锦华月饼礼盒豪华双层高档PU皮璀璨盛宴中秋节礼品团购送客户领导,529.2,健乐福食品专营店,47.0,北京
456,中秋节月饼礼盒装广式蛋黄莲蓉流心企业团购定制高档木盒装送礼品,109.9,九之间旗舰店,104.0,浙江
457,星巴克月饼券票348型星情礼盒提货券中秋送礼优惠券 全国通用,243.6,票券世家,2415.0,上海
458,中国香港美心双黄白莲蓉月饼礼盒装进口蛋黄豆沙金装彩月中秋礼品,258.0,lzcwzxx,427.0,广东
459,杏花楼 上海玫瑰豆沙月饼100g*10 广式月饼 老式传统散装中秋,90.0,杏花楼食品旗舰店,5500.0,上海
460,吉香莲中秋月饼老式广东广式蛋黄莲蓉五仁水果散装多口味员工月饼,28.8,吉香莲旗舰店,3952.0,广东
461,顺丰包邮香港美心流心奶黄月饼港式流沙蛋黄月饼礼盒包装中秋送礼,258.0,外贸直销商店,100.0,香港
462,稻香村月饼上品荣礼双层礼盒团圆祥月三层装中秋送人礼品团购定制,89.0,中谷粮食品专营店,802.0,北京
463,老母家月饼东北老式月饼散装多口味豆沙水果五仁月饼蛋黄莲蓉糕点,15.9,老母家食品旗舰店,2808.0,吉林
464,稻香村拾光追月中秋礼盒蛋黄莲蓉广式流心奶黄传统五仁月饼多口味,488.0,稻香村食品旗舰店,17.0,四川
465,稻香村蛋黄莲蓉五仁豆沙多口味散装传统老月饼手工礼盒装中秋送礼,29.9,稻香村食品旗舰店,20000.0,北京
466,85度C月饼券298燕舞金秋中秋月饼礼盒提货券票江浙沪通用,187.0,诚信的店家88,52.0,上海
467,包邮金尊天猫超市定制中秋节广式蛋黄莲蓉月饼铁罐孕妇礼盒装400g,29.9,天猫超市,1079.0,上海
468,帝辉月饼中秋节高档大礼盒装送礼双黄莲蓉多口味广东广式月饼团购,169.0,帝辉食品旗舰店,561.0,广东
469,哈根达斯月饼券玲珑心意中秋节冰淇淋月饼票门店提货券全国通用,214.4,鸿运88网,363.0,北京
470,吴川金九月饼伍仁金腿1斤装广式月饼湛江五仁火腿大月饼送礼礼盒,138.0,星之导贸易商城店,169.0,广东
471,哈根达斯月饼券票498型七星伴月冰淇淋中秋月饼礼盒提货券全国用,398.4,东方礼品专卖店,68.0,上海
472,知味观杭州特产流心奶黄饼散装网红零食广式流沙蛋黄中秋节月饼,36.9,知味观官方旗舰店,6000.0,浙江
473,【金九旗舰店】吴川金九大月饼伍仁金腿中秋月饼礼盒装 送礼1斤Z,139.9,金九旗舰店,9000.0,广东
474,稻香村月饼礼盒装上品臻礼广式蛋黄莲蓉五仁三层中秋送礼团购定制,158.0,同泽食品专营店,478.0,北京
475,朕的心意故宫月饼圆盒扶摇中秋礼盒475g蛋黄莲蓉玫瑰樱桃中秋送礼,488.0,天猫超市,14.0,上海
476,新雅大师月月饼铁盒双层800g中秋月饼礼盒送亲友蛋黄莲蓉五仁月饼,128.0,天猫超市,124.0,上海
477,华美月饼金秋颂福900g礼盒装送礼广式双黄白莲蓉月饼多口味中秋节,79.9,华美食品旗舰店,10000.0,广东
478,知味观现烤酥皮苏式榨菜鲜肉香辣小龙虾传统月饼中秋送礼速冻食品,99.0,知味观官方旗舰店,83.0,浙江
479,亏！云腿月饼 云南特产云腿酥宣威火腿 中秋送礼散装多口味礼盒装,9.9,七彩之谜旗舰店,9500.0,云南
480,starbucks/星巴克 星悦月饼礼盒多口味8枚装中秋送礼 实物配送,458.0,天猫超市,10.0,上海
481,五芳望月多口味奶黄流心巧克力抹茶月饼礼盒装中秋节送礼团购特产,178.0,五芳斋官方旗舰店,48.0,浙江
482,八马茶食品 月饼红茶龙井铁观音茶月饼珍心缘月月饼礼盒40g*18个,298.0,八马旗舰店,34.0,广东
483,【帝一榴】马来西亚榴莲冰皮月饼中秋节广式流心糕点礼盒定制套装,118.0,帝一榴旗舰店,210.0,福建
484,Amalee艾玛琳高档网红燕窝奶黄流心多口味月饼礼盒装中秋送礼团购,298.0,新纪元食品专营店,269.0,湖北
485,【官方正品】金九月饼伍仁金腿2斤装大月饼广东湛江吴川五仁礼盒,208.0,雅致中心,207.0,广东
486,中秋节月饼礼盒装送礼高档散装多口味冰皮广式流心奶黄蛋黄巧克力,98.0,七好旗舰店,317.0,浙江
487,【小马家】南台月酥皮月饼喜月礼盒莲蓉蛋黄肉松云腿小马家,139.0,泡沫vs天堂,360.0,四川
488,荣华月饼 双黄白莲蓉礼盒装708g 中秋节广式月饼蛋黄礼盒送礼团购,108.0,宏侨食品专营店,145.0,广东
489,港版 香港美心月饼 漫威超级英雄钢铁侠卡通月饼礼盒流心奶黄中秋,168.0,我爱我猫2008,157.0,广东
490,图优星座月饼礼盒装定制高档送礼多口味中秋广式蛋黄五仁冰皮流心,118.0,图优图易旗舰店,323.0,河南
491,散装桥墩周兴豪大月饼温州特产鲜肉蛋黄肉松老式五仁手工芝麻网红,32.0,桥墩古法手工月饼,4295.0,浙江
492,星巴克月饼券中秋月饼票提货券348型星情/458型星悦/598型星奕,192.0,爱的选择love,130.0,上海
493,2020香港美心流心奶黄月饼礼盒装8个港式糕点 承接公司团购单,288.0,tb1070857597,21.0,北京
494,西区老大房 烘焙月饼超值家庭组 生胚 东方CJ购物,97.0,一路向北8010,129.0,上海
495,五芳斋月饼礼盒装送礼蛋黄莲蓉豆沙多口味中秋节广式流心奶黄月饼,89.9,五芳斋官方旗舰店,25000.0,浙江
496,广式月饼中秋豆沙蛋黄莲蓉五仁伍仁水果馅传统老式散装多口味批发,5.9,鼠小张旗舰店,15000.0,安徽
497,华美月饼礼盒装蛋黄莲蓉多口味情深意浓420g铁盒装中秋节送礼团购,34.9,忆品味贸易有限公司,1116.0,江苏
498,瑞萩&vivicat流心月饼多口味奶黄礼盒装中秋团购送礼乐观潮月,179.0,瑞萩旗舰店,128.0,浙江
499,哈根达斯月饼券玲珑心意268型七星伴月498彩云追月698全国通用,214.4,唐氏票务,161.0,上海
500,美心月饼双黄白莲蓉月饼礼盒香港正宗进口港版式广蛋黄中秋送礼装,238.0,创意淘一站,189.0,广东
501,迪士尼快乐奇旅月饼礼盒流心奶黄广式奶酥皮月中秋送礼团购礼盒装,168.0,竡思徒食品专营店,179.0,广东
502,猫山王榴莲月饼礼盒装送礼 水果味非奶黄流心冰皮 中秋节网红礼品,238.0,炫维食品专营店,66.0,福建
503,金苹果月饼礼盒装蛋黄莲蓉豆沙多口味传统广式月饼中秋节送礼团购,39.9,悠乐食品专营店,539.0,浙江
504,上海杏花楼玫瑰豆沙月饼100g*10只装 广式月饼糕点散装豆沙月饼,81.0,本善坊食品,292.0,上海
505,希尔顿成都五星级酒店月饼券礼盒装四川兑换自提团购中秋节Hilton,98.0,西南食品,159.0,四川
506,老式东北五仁月饼无糖传统糕点手工散装豆沙木糖醇口味中秋送礼,29.93,优顺旗舰店,10000.0,吉林
507,郑永丰温州桥墩镇手工老式五仁鲜肉蛋黄大月饼散装多口味送礼盒装,40.8,郑永丰月饼批发零售,2134.0,浙江
508,稻香村双蛋黄莲蓉月饼京五仁豆沙广式奶油椰蓉散装多口味礼盒中秋,99.0,稻香村食品旗舰店,1267.0,北京
509,YOTIME月饼集锦中秋节桃山月饼礼盒465g传统手工糕点团购送礼礼品,139.0,天猫超市,141.0,上海
510,YOTIME中秋节手工糕点苏式月饼礼盒装520g蛋黄糕点酥皮团购送礼品,119.0,天猫超市,178.0,上海
511,香港元朗荣华蛋黄金翡翠600g蛋黄白莲蓉广式月饼礼盒中秋送礼,138.0,天猫超市,168.0,上海
512,嘉华中秋月饼礼包640g多口味8枚宣威火腿蛋黄滇式云南酥皮糕点,98.0,天猫超市,364.0,上海
513,中秋送礼高档月饼礼盒装定制logo木盒500克大月饼冰皮流心多口味,109.9,味同兴旗舰店,197.0,浙江
514,中秋月饼礼盒装团购送礼高档提篮传统广式酥皮蛋黄火腿多口味礼品,129.9,梅之恋9268,135.0,四川
515,满减【知味观月饼礼盒】广式蛋黄莲蓉豆沙流心奶黄月饼送礼礼品,80.28,知味观官方旗舰店,105.0,浙江
516,中秋迷你水果月饼小月饼水果味广式月饼多口味零食整箱3900克批发,55.8,童童家食品专营店,420.0,河北
517,STARBUCKS/星巴克月饼券票348星情提货券中秋月饼礼盒全国2020,195.0,南京普众电子,137.0,上海
518,华美月饼盒装广式蛋黄莲蓉中秋月饼散装多口味豆沙员工团购送礼,26.9,华美环亨专卖店,3935.0,浙江
519,菓然匠子中秋节苏式月饼木送礼盒装日式糕点心和果子高档颜值定制,288.0,菓然匠子旗舰店,179.0,浙江
520,星巴克月饼礼盒星情星悦星奕中秋节月饼江浙沪门店北京广东礼品,189.0,天国商城88,350.0,北京
521,上海光明邨鲜肉月饼大酒店招牌光明村蟹粉淮海路总店直购现烤月饼,26.0,血脉喷张1,1353.0,上海
522,广式中秋月饼礼盒装8个广东金尊豆沙蛋黄莲蓉中秋节月饼送礼,19.9,祖食食品专营店,2081.0,广东
523,稻香村月饼礼盒装团圆祥月双层礼盒930g蛋黄莲蓉奶油椰蓉中秋节,168.0,俊卿伟业食品专营店,107.0,北京
524,2020迪士尼米奇流心奶黄月饼礼盒快乐奇旅经典网红多口味团购送礼,171.2,竡思徒食品专营店,102.0,广东
525,稻香村月饼礼盒装苏式广式京式月饼高档三层中秋礼品商务送人团购,318.0,多点诚意食品专营店,17.0,北京
526,故宫月饼礼盒装送礼散装多口味广式蛋黄冰皮团购定制网红流心奶黄,178.0,伯奢旗舰店,242.0,浙江
527,荃盛月饼礼盒装蛋黄莲蓉冰皮月饼广式月饼散装多口味团购中秋送礼,16.9,荃盛旗舰店,15000.0,浙江
528,星巴克月饼券票月饼礼盒提货券348星情458星悦598星奕 江浙沪使用,243.6,jurry999,1929.0,上海
529,现货沈大成苏式月饼冷冻生坯半成品2020新品鲜肉月饼300g*3盒18只,88.0,沈大成1875年,483.0,上海
530,新雅月饼券月饼票 富贵提篮 238型 月饼提货券上海使用包邮,154.7,wewewe8008,106.0,上海
531,中国香港美心流心芝士干酪味月饼礼盒进口港式流沙蛋黄中秋送礼,348.0,美心官方旗舰店,413.0,上海
532,其妙流心奶黄月饼礼盒装送礼中秋节广式小月饼散装多口味零食糕点,9.9,其妙旗舰店,20000.0,福建
533,南台月月饼礼盒装雅月8粒送客户送礼蛋黄莲蓉云腿纯手工火腿酥皮,174.0,cddwzz,263.0,四川
534,龙华寺净素月饼券票中秋月饼礼盒提货券88型龙华秋月上海使用包邮,69.0,爱的选择love,294.0,上海
535,汕头西堤仁和月饼送礼绿豆乌豆朥饼单黄多口味潮汕特色月饼礼盒装,68.0,西堤仁和旗舰店,496.0,广东
536,元朗流心月饼奶黄流沙蛋黄中秋礼品 网红广式月饼礼盒装 送礼300g,168.0,元朗食品旗舰店,664.0,广东
537,星巴克月饼券458星悦月饼礼盒门店提货票江浙沪广东北京全国通用,297.0,天国商城88,258.0,北京
538,集味村 阿狸 猫山王榴莲冰皮月饼港式流心月饼礼盒装中秋送礼手信,298.0,集味村旗舰店,690.0,广东
539,稻香村月饼礼盒装中秋广式蛋黄莲蓉豆沙月饼传统糕点节日团购批发,29.9,稻香村心诚专卖店,9000.0,北京
540,現貨秒發ladym中秋奶黃月餅限量燈笼禮物盒发光lady m送女神包郵,645.0,fhk5001313,58.0,香港
541,潘祥记云腿月饼100g10枚中秋宣威火腿饼滇式蛋黄伍仁散装云南特产,65.0,宝宝呢狗狗,866.0,云南
542,日威月饼礼盒装双蛋黄白莲蓉送礼高档皓月甄礼中秋节广式月饼团购,59.8,易强食品专营店,590.0,浙江
543,月满心甜桃山风味中秋节月饼礼盒装送礼高档网红水果多口味,128.0,洛卡乐食品专营店,100.0,福建
544,虹山如愿火腿月饼100gX10枚宣威火腿中秋酥饼昆明面粉厂云腿月饼,80.0,虹山如愿旗舰店,526.0,云南
545,杏花楼 蛋黄莲蓉月饼 100g*10 散装中秋广式月饼上海传统老式袋装,103.0,杏花楼食品旗舰店,1679.0,上海
546,五芳斋月饼礼盒嘉禾双蛋黄莲蓉豆沙广式多口味中秋节月饼团购送礼,99.0,五芳斋官方旗舰店,21.0,浙江
547,稻香村月饼皇冠曲奇饼干联名款礼盒装中秋送礼散装多口味传统五仁,218.0,稻香村食品旗舰店,100.0,北京
548,稻香村X王者荣耀IP联名款峡谷月明月饼礼盒装莲蓉多口味中秋送礼,298.0,稻香村食品旗舰店,112.0,北京
549,香港元朗荣华混合口味流心奶黄月饼355g/盒广式月饼礼盒,208.0,天猫超市,66.0,上海
550,月饼礼盒装广式蛋黄莲蓉零食糕点五仁中秋节员工批发团购送礼礼品,39.9,深华食品旗舰店,100000.0,广东
551,五芳斋月饼礼盒装中秋节送礼品蛋黄莲蓉豆沙香芋广式混糖礼袋团购,32.9,xinrui0906,498.0,浙江
552,五芳斋嘉禾月饼礼盒装双蛋黄莲蓉广式豆沙糕点月饼中秋节团购送礼,128.0,五芳斋官方旗舰店,249.0,浙江
553,2020年LADYM中秋月饼礼盒ladym月饼lady m月饼流心月饼国内代购,658.0,ladym果,58.0,上海
554,杏花楼 大伍仁广式月饼礼盒中秋送礼上海老字号传统老式五仁盒装,108.0,杏花楼食品旗舰店,1001.0,上海
555,【十月初五_ 水果茶香月饼】草莓味凤梨味绿茶味哈密瓜味小月饼,109.9,十月初五旗舰店,219.0,广东
556,百亿补贴【金九旗舰店】 吴川金九月饼伍仁金腿月饼1斤装,179.9,金九旗舰店,884.0,广东
557,2020星巴克月饼券348型星情礼盒提货券北京江浙沪全国通用自提券,228.0,不折不扣的折扣,780.0,北京
558,杏花楼月饼券豪华提篮398型月饼礼盒提货券中秋月饼票上海用包邮,266.0,c雨雨99,12.0,上海
559,广州酒家幸福的礼月饼蛋黄纯白莲蓉月饼礼盒广式团购中秋送礼手信,88.0,谢健培,165.0,广东
560,哈根达斯月饼券898金尊中秋冰淇淋月饼礼盒提货券票全国通用,673.5,诚信的店家88,81.0,上海
561,美心月饼券票中秋港式月饼礼盒提货券588型七星伴明月 全国使用,441.0,jurry999,25.0,上海
562,金苹果月饼广式蛋黄莲蓉五仁桃山冰皮多口味中秋节礼盒装团购送礼,69.9,古润食品专营店,337.0,安徽
563,菓然匠子中秋月饼礼盒装高颜值日本和果子桃山皮精致糕点心送礼品,248.0,菓然匠子旗舰店,197.0,浙江
564,广式双黄白莲蓉蛋黄月饼传统铁礼盒装中秋节糕点老式手工送礼团购,25.0,味小鲜食品专营店,2256.0,广东
565,星巴克月饼券星情悦奕提货卡礼品卡中秋月饼全国通用配送票2020,182.0,一品良源食品企业店,155.0,上海
